,name,title,ratting,review
0,Yasaman Z.,Must Read this Review ( its very brief for the people without much time),5.0,"
I LOVED this Xbox series S as both an upgrade and as console as a whole. Some people state that the gift card isn't included in the purchase but it appears available in the setup process ( keep in mind you need a payment method since its a ""free trial"") . The storage it contains is sufficient and can easily support expansion storage hard drives if needed. The setup was straightforward and quick ( probably totaling just under 10 minutes in total). The graphic quality is pretty good for the price you pay and definitely a cheaper, but fairly similar in terms of quality , alternative to the more expensive PS5. Overall, this Xbox was a pretty good purchase and would definitely recommend other people to buy if you're  in the console market.
"
1,Sheila O'Rourke,"Very Good, I like video games",5.0,"
I got the Xbox series S and it is very good. I never understand why they always say 500 gb cause when I turn it on every time it is more like 360 gb of free space and I do not understand where the extra gb was used for maybe it used for hard
"
2,B Perry,100/10,5.0,"
I got this as an upgrade for my switch and wow it is so much better. I got it for 225$ sale so if you wan t to buy make sure it’s on sale.Pros:Cheapest next gen consoleGreat graphics and performance on most gamesQuick resume: you don’t have to reboot up your game if you stop playingGamepass some amazing games on there.ConsStorage is only abt 400gb and expansions very costlyOnly digital so no getting gmaes from your friends or buying/renting used oneMy favorite games are WRC ea sports (rally racing game )and no man’s sky(sci-fi space exploration game)
"
3,Alex Biersner,Giving Credit Where it's Due,5.0,"
Now granted, I don't have a smart 4k state of the art tv, but for the price I got for the brand, I'm satisfied with how games looked on it. This was before playing on the Series S. The games, streaming services, even YouTube looks amazing through the system. Yes, it would be nice to have a Series X for the disc. But I'm really impressed with this little console that could. Not only does it run amazing, the quick resume feature blows my mind everytime I switch from YouTube to a game. I think I'm more impressed with just how quiet this thing is. My former main console was a PS4 Pro. And oh boy, it was like a plane was taking off everytime it need to load. If you have the money for a Series X, I'd say go for it; especially if you can find a sale going for it. But if you don't care for the disc drive or the extra power, you won't be disappointed with the Series S. With this and Game Pass, I'm set for life!
"
4,Leb,Amazing value,5.0,"
I bought this as a Christmas present for my little brother and he loves it! Way more powerful than the previous generation of Xbox and way faster too. We were both surprised as to how small the console was. Since the older generation of Xbox is slowly losing support for newer games, he had to upgrade and the series s is a fantastic bang for your buck.
"
5,Amazon Shopper,Amazing! Just one problem…,4.0,"
It said 512 GB but it only had 300 GB which is like 2 maybe 3 games
"
6,Toney,It’s a Xbox🤷🏻‍♂️,5.0,"
“After 3 weeks of waiting for amazon to ship it”I’m not a big gamer but do like to play if I find a good game, so I had the one X but can’t play new games so was forced to buy this. Graphics look the same as the Xbox one X so not much to say in a review and my game pass was included when I hooked up my system so no problems there. And yes out of the 500g memory you start off with 25% used. I downloaded 3 games and still have 40% so all good there.
"
7,Big Lansky ,Amazon Shopping Experience,5.0,"
Excellent buy, great price, met all expectations, was delivered promptly. I must say online shopping with amazon is thee best online shopping experience by far 🥰
"
8,EMMIE,Perfect,5.0,"
I have been looking forward to an Xbox for a while. I was skeptical about ordering online and having it shipped. It arrived early and works amazing.
"
9,BarnTurtle,Awesome,5.0,"
I'm not one of those that has to have the latest greatest no matter the cost, so I'm glad I waited so long to get this.  But, I'm glad I got it.
"
